,Date,Cured,Deaths,Confirmed
2530,01/06/2020,8478,473,19844
2566,02/06/2020,8746,523,20834
2602,03/06/2020,9243,556,22132
2638,04/06/2020,9542,606,23645
2674,05/06/2020,9898,650,25004
2710,06/06/2020,10315,708,26334
2746,07/06/2020,10664,761,27654
2782,08/06/2020,10664,761,27654
2818,09/06/2020,11357,874,29943
2854,10/06/2020,11861,905,31309
2891,11/06/2020,12245,984,32810
2927,12/06/2020,12731,1085,34687
2963,13/06/2020,13398,1214,36824
2999,14/06/2020,14945,1271,38958
3035,15/06/2020,15823,1327,41182
3071,16/06/2020,16427,1400,42829
3107,17/06/2020,16500,1837,44688
3143,18/06/2020,17457,1904,47102
3179,19/06/2020,21341,1969,49979
3215,20/06/2020,23569,2035,53116
3251,21/06/2020,31294,2112,56746
3287,22/06/2020,33013,2175,59746
3323,23/06/2020,36602,2233,62655
3359,24/06/2020,39313,2301,66602
3395,25/06/2020,41437,2365,70390
3431,26/06/2020,44765,2429,73780
3467,27/06/2020,47091,2492,77240
3503,28/06/2020,49301,2558,80188
3539,29/06/2020,52607,2623,83077
3575,30/06/2020,56235,2680,85161
